coroner_name,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses,no. failed parses
Mr Ian Arrow,27,37,49,9,4,10,1,3
Mr Crispin Oliver,27,43,35,19,4,1,1,2
Mr Richard Travers,26,68,27,5,5,14,1,1
Mr Timothy William Brennand,26,40,20,10,1,13,1,1
Ms Katy Skerrett,26,35,22,15,0,9,0,1
Mr S. McGovern,26,25,11,11,0,12,2,1
Mr Robert Simpson,26,37,29,15,4,4,0,3
Mr Geraint Williams,26,30,18,12,0,9,3,1
Mr Andrew Michael Bridgman,24,33,20,11,1,9,0,3
Mr Philip Barlow,24,40,29,13,1,7,2,1
Ms Catherine McKenna,24,29,18,14,1,5,2,2
Mr Darren Stewart OBE,24,30,23,10,2,3,3,5
Mr Oliver Robert Longstaff,24,50,41,16,4,2,2,0
Miss Laurinda Bower,23,35,28,13,1,4,0,4
David Hinchcliff,23,32,13,6,0,16,0,0
Mr Ian Geoffrey Pears,23,28,21,16,0,5,2,0
Mr Brendan Joseph Allen,23,31,29,14,2,3,0,2
Mr David Clark Horsley,23,28,15,11,1,11,0,0
Mr John Penhale Ellery,23,31,22,12,2,6,1,1
Ms Sarah Bourke,23,38,27,14,1,6,2,0
Mr James Bennett,23,49,39,15,1,4,0,2
Mr Paul Stanford Cooper,23,26,16,14,0,8,0,1
Ms Abigail Combes,22,24,21,14,0,6,0,2
Mr Paul Vernon Marks,22,25,17,11,3,3,2,3
Mrs Karen Dilks,22,26,19,10,1,10,0,1
Miss Rachel Elisabeth Knight,22,44,19,12,1,3,2,4
Mrs Joanne Lees,22,27,22,14,1,4,0,3
Mrs Joanne Andrews,21,29,27,15,1,1,1,3
Mr DAVID LLEWELYN ROBERTS,21,30,20,11,0,7,1,0
Ms Kate Robertson,21,25,21,16,0,3,0,2
Mr Graeme David Hughes,21,35,20,13,1,7,0,0
Mr Darren Michael Salter,21,25,24,19,0,2,0,0
Mrs Caroline Sarah Sumeray,20,32,10,5,0,10,2,1
Jennifer Leaming,20,31,18,8,1,9,0,2
Mrs Helen Rachel Redman,19,19,10,9,0,9,0,0
Mr Peter Nieto,19,34,23,10,3,3,1,2
Ms Catherine Wood,19,24,20,10,3,2,0,4
Dr Peter Harrowing,19,38,12,4,4,9,2,0
Mr Hassan Shah,19,42,18,5,1,9,3,1
Mr Sean Kevan Horstead,19,35,24,11,3,4,0,1
Mr J Mark Layton,18,22,16,11,1,5,0,1
Ms Selena R Lynch,18,21,10,6,0,8,2,1
Mr Adam Hodson,18,27,24,13,2,2,0,1
Mrs Samantha Marsh,18,34,23,10,3,5,0,0
Miss Lorraine Harris,17,23,18,6,4,4,0,3
Ms Yvonne Kathleen Blake,17,17,10,7,1,7,0,2
Mrs Tanyka Samantha Rawden,17,24,17,7,3,6,1,0
Mrs Catherine Mason,17,16,14,12,0,2,0,3
Mr Crispin Giles Butler,17,26,15,7,1,7,2,0
Dr Nicholas Alastair Shaw,17,18,16,8,0,3,0,4
Mrs Anna Loxton,16,27,16,7,1,4,2,2
Dr Elizabeth A Earland,16,24,16,8,1,5,0,2
Mr Geoffrey Sullivan,16,21,18,11,1,2,1,1
Mr Peter J Bedford,16,25,15,6,0,8,1,0
Dr E. Emma Carlyon,16,26,19,8,3,2,2,1
Mr Jeremy Chipperfield,15,22,14,10,1,4,0,0
Christopher Murray,15,30,24,9,1,3,2,0
Mr SIMON NELSON,15,34,10,4,2,6,2,1
Dr Simon Fox QC,15,20,16,8,2,3,0,1
Mr Jason Pegg,15,13,11,8,0,4,0,3
Mr Adrian John Farrow,15,27,23,8,1,1,0,4
Mr Christopher Dorries,15,23,11,7,1,7,0,0
Mr James Edward Thompson,15,14,15,10,0,2,0,3
Mr Robert Cohen,15,12,11,7,1,1,1,4
Ms Melanie Lee,14,18,17,10,0,1,0,3
Ms Mary T Burke,14,26,11,2,3,7,0,1
David Urpeath,14,22,12,9,0,5,0,0
Mr Philip Spinney,14,19,17,8,1,4,1,0
Mr Michael Singleton,14,14,6,6,0,8,0,0
Miss Clare Bailey,14,26,20,9,0,5,0,0
Mr David Regan,14,18,12,8,1,3,2,0
Dr James Adeley,14,19,8,5,1,7,1,0
Mr Aled Wyn Gruffydd,14,19,17,8,1,4,1,0
Mrs Anita Bhardwaj,14,26,13,5,5,2,1,1
Mr Edwin Buckett,14,14,12,11,0,2,0,1
Mrs Anne Pember,14,16,11,7,1,2,1,3
Dr Alexander Robert Walker Forrest,13,22,4,3,1,8,0,1
Stephanie Haskey,13,19,10,7,0,6,0,0
Mr Richard Thomas Middleton,13,20,16,11,0,2,0,0
Mr Robert Chapman,13,16,9,6,0,7,0,0
Mr Andrew Philip Hetherington,13,19,17,8,0,2,0,3
Mr Grahame Antony Short,13,17,11,6,1,3,3,0
Mr Gordon Clow,13,23,17,7,1,3,0,2
Mr HG Mark Bricknell,13,11,11,10,0,1,0,1
Mrs Samantha Goward,13,15,11,6,2,2,0,2
Ms Anna Morris,12,18,12,8,0,2,2,0
Mr David Lewis,12,13,12,10,0,1,0,0
Mrs Dianne Hocking,12,15,12,2,1,2,2,5
Ms Alison Brydie Hewitt,12,19,9,5,1,4,0,2
Mr Peter Judge,12,22,13,4,3,4,0,1
Mrs Charlotte Keighley,11,17,12,4,2,3,0,1
Mr Paul Duncan Smith,11,19,7,4,0,6,1,0
Miss Janine Richards,11,10,14,5,0,2,0,2
Melanie Williamson,11,19,6,2,1,7,0,1
Katie Sutherland,11,13,6,5,0,3,0,3
Mrs SARAH LOUISE SLATER,11,10,5,5,0,4,0,2
Mr Simon Wickens,11,21,11,6,0,5,0,0
Mr Simon Milburn,11,13,9,6,0,4,0,1
Miss Rachel Raheela Syed,10,19,7,1,2,6,0,1
Mr Zak Golombeck,10,16,12,4,3,1,0,2
Miss Sarah Murphy,10,7,3,3,0,3,1,3
Mr Rob Sowersby,10,11,7,5,0,3,0,2
Mr Ian Smith,10,18,9,4,1,3,0,0
Miss Sarah Ormond-Walshe,10,17,14,5,1,1,2,1
Mr Tony Brown,10,14,10,6,1,3,0,0
Mrs Jean Harkin,10,14,11,7,0,3,0,0
Dr Shirley Radcliffe,10,18,12,4,0,4,1,1
Chinyere Inyama,10,14,5,3,0,6,1,0
Mr Jonathan D P Stevens,10,26,14,2,2,4,1,1
Dr Roy N Palmer,10,13,5,3,1,6,0,0
Dr Peter Dean,10,18,1,0,0,10,0,0
Dr David J Osborne,9,9,6,3,0,5,0,0
Christopher Woolley,9,19,7,1,1,7,0,0
Mr Ian Brownhill,9,15,8,2,3,2,0,2
Mr christopher paul williams,9,17,7,3,1,5,0,0
Mr David Place,9,12,10,5,0,0,1,3
Mr Stuart P G Fisher,9,13,5,4,0,4,0,0
Ms Deborah Archer,9,16,9,2,1,3,2,1
Ms Catherine Cundy,9,8,8,5,0,2,0,2
Mr Kimberley Ian Singleton,9,18,14,6,1,2,0,0
Ms Susan Ridge,9,13,10,6,1,1,0,0
John Tomalin,9,13,10,6,0,2,1,0
Miss Bina Patel,9,12,4,3,1,2,2,1
Dr Julian Rupert Laurence Morris,9,25,18,4,2,3,0,0
Elizabeth Carlyon,9,13,0,0,0,8,0,1
Ms Vanessa McKinlay,8,8,6,6,0,2,0,0
Mrs Lauren Costello,8,7,8,3,0,1,0,4
Mrs LINDA KAREN HADFIELD LEE,8,24,15,2,3,2,0,0
Mr Michael James Pemberton,8,14,12,2,1,3,1,1
Mr Tim Holloway,8,7,3,3,0,3,0,2
Miss Kate Thomas,8,8,6,6,0,2,0,0
Mr Christopher John Long,8,8,9,5,0,1,0,2
Mr Edward G Thomas,8,7,5,5,0,2,0,1
Mrs Victoria Davies,8,10,5,1,0,3,1,2
Mrs kirsten heaven,8,14,14,6,1,1,0,0
Mr James Healy-Pratt,8,10,8,6,0,2,0,0
Miss Wendy James,8,9,6,2,0,5,0,0
Terence Moore,8,11,3,3,0,4,0,0
Donald Coutts-Wood,8,11,6,2,1,3,0,1
Mr Nicholas Graham,8,8,7,7,0,1,0,0
Ms Henrietta Hill QC,8,16,11,1,2,3,1,1
Mr John Hobson,8,10,9,7,1,0,0,0
Miss Alison McCormick,8,12,6,4,0,3,0,1
Mr Stephen Simblet KC,8,8,8,5,0,2,0,1
Ms Nicola Jones,8,9,6,5,0,3,0,0
R J Balmain,8,5,3,3,0,2,0,3
Mr Colin Phillips,8,13,8,5,1,2,0,0
Miss Fiona Butler,7,15,13,5,1,1,0,0
Mr Russell Ashley Caller,7,10,4,3,0,2,1,1
Mr Tony Williams,7,9,4,0,1,3,2,1
Mr Peter Taheri,7,7,5,3,0,0,1,3
Mr Roger Linton Hatch,7,8,6,5,1,1,0,0
Ms Sophie Lomas,7,6,6,6,0,0,0,1
Mrs Marilyn Whittle,7,8,6,4,0,2,0,1
Mrs Rebecca Sutton,7,14,15,3,2,1,1,0
Dr Bridget Dolan KC,7,11,8,4,1,2,0,0
R .David Crawford Clarke,7,17,9,0,1,4,2,0
Julie Robertson,7,9,4,2,0,4,1,0
Lorna Tagliavini,7,12,8,4,1,2,0,0
Miss CARLY ELIZABETH HENLEY,7,15,13,4,1,1,0,1
Mr Terence Carney,7,19,0,0,0,7,0,0
Mr Joseph Turner,7,7,6,5,1,0,0,1
Mr Jonathan Richard Heath,7,11,8,2,1,4,0,0
Mr Christopher Campbell Wilkinson,7,11,6,3,0,3,0,1
Mrs Angela Carol Brocklehurst,7,7,7,5,0,2,0,0
Mr Stephen John Nicholls,7,8,7,5,0,1,0,1
Miss Isobel Thistlethwaite,7,8,9,3,0,3,0,1
Miss Kirsty Gomersal,7,8,11,4,0,3,0,0
Ms Alexandra Pountney,7,14,10,3,2,2,0,0
Mr Henry Frederick Charles,7,22,19,6,0,1,0,0
Mr Stephen Covell,7,11,6,3,1,2,0,1
Miss Sabyta Kaushal,6,8,5,4,0,1,1,0
Mr John C Taylor,6,5,2,1,0,2,0,3
Mr Scott Matthewson,6,3,1,1,0,0,2,3
Mr Stephen George Eccleston,6,9,7,3,0,2,0,0
Mr Nicholas Walker,6,6,4,3,1,0,0,1
Mrs Deborah Suzanne Rookes,6,9,5,2,1,1,0,2
Michael R Rose,6,11,2,2,0,4,0,0
Ms Johanna Thompson,6,10,3,1,1,3,0,1
Mrs Priya Malhotra,6,14,7,2,0,4,0,0
Dr Anton van Dellen,6,23,10,3,1,0,0,0
Dr Robert Hunter,6,11,4,3,0,3,0,0
Mr Heath Westerman,6,11,6,4,0,2,0,0
Mr Ian Wade KC,6,7,5,4,0,2,0,0
Mr Delroy Henry,6,7,4,2,1,1,1,1
Mr David Pojur,6,16,12,3,1,1,1,0
Mr Alan R Craze,6,27,16,4,1,1,0,0
Mr Matthew A Cox,6,10,10,4,0,2,0,0
Mr Mark Andrew Beresford,6,6,4,4,0,1,0,1
Mrs Laura May Bradford,5,13,9,4,0,1,0,0
Jane Gillespie,5,7,4,2,0,2,0,1
Ms Joy Michelle Brown OBE,5,9,0,0,0,5,0,0
Miss Sarah Anna Middleton,5,7,5,3,1,0,1,0
Mr Gareth jones,5,5,4,2,1,0,0,1
Ms Elizabeth Gray,5,10,6,2,1,2,0,0
Mr Xavier Mooyaart,5,10,8,3,0,1,0,1
Mrs Eleanor Kay McGann,5,4,0,0,0,4,0,0
Mr Alan Moore,5,6,1,1,0,3,1,0
Miss Susan Evans,5,12,9,2,1,1,0,1
Mrs Elizabeth Wheeler,5,5,3,3,0,1,1,0
Mr Paul John Rogers,5,15,9,1,3,1,0,0
Mr Nicholas Moss QC,5,14,9,2,0,1,1,1
Mr Nicholas Lane,5,10,10,5,0,0,0,0
Ms jessica russell-mitra,5,7,1,0,0,5,0,0
Richard Furniss,5,8,3,3,0,2,0,0
Michael Spencer,5,9,9,5,0,0,0,0
Miss Georgina Nolan,5,6,7,4,0,1,0,0
Andrew McNamara,5,14,6,1,0,4,0,0
Dr Peter Henry Straker,5,10,10,1,1,1,0,2
Ms Rebecca Ollivere,5,6,6,3,1,1,0,0
Mr Mr P J Bennett,5,15,3,1,0,4,0,0
Miss Elizabeth Dudley-Jones,5,7,3,1,1,3,0,0
Ms Leila Benyounes,5,11,9,3,0,2,0,0
Mr David Heming,4,12,11,2,0,1,0,0
Ms Louise Wiltshire,4,7,5,2,0,2,0,0
Richard A Hulett,4,4,2,2,0,2,0,0
Mrs Patricia Claire Morgan,4,6,4,2,2,0,0,0
Mrs Krestina Hayes,4,4,3,2,0,1,0,0
Mrs Rosamund Rhodes-Kemp,4,6,1,0,0,3,0,0
Dr Nick Armstrong KC,4,5,5,3,0,0,0,0
Belinda Cheney,4,6,0,0,0,3,0,1
Dr Jeane Rosa Mellani,4,8,5,2,1,1,0,0
Dr Leslie Hamilton,4,5,5,3,0,0,0,0
Dr Liliane Marthe Field,4,9,8,2,1,0,0,1
Mrs Alison Longhorn,4,4,2,2,0,1,1,0
Mr james puzey,4,9,2,0,2,1,1,0
Ms Fiona Borrill,4,7,3,1,0,2,0,1
Mrs Sarah L. Whitby,4,4,1,1,0,3,0,0
Mr Andrew David Cousins,4,3,2,2,0,1,0,1
Mr Jonathan David Leach,4,4,2,2,0,1,1,0
Mr Daniel Howe,4,10,7,3,0,0,1,0
Mr Dewi Pritchard Jones,4,4,4,4,0,0,0,0
Mr Jonathan Dixey,4,7,6,3,0,1,0,0
Mr Harry Nathaniel Lambert,4,4,4,4,0,0,0,0
Mr Adam Smith,4,4,5,3,0,0,0,1
Mr Alan James Blunsdon,4,6,3,1,2,1,0,0
Miss Sophie Cartwright KC,4,6,4,1,1,1,0,0
Miss Sally Anne Robinson,4,15,12,2,1,1,0,0
Miss Sarah Clarke,4,10,6,2,0,2,0,0
Miss Sarah Jane Wood,4,7,5,3,0,1,0,0
Miss Kerrie Burge,4,6,4,2,1,1,0,0
Miss Ana samuel,4,5,4,3,1,0,0,0
Mr Jacques Howell,4,5,7,3,0,0,0,1
Mr Gavin Knox,4,4,3,1,1,0,0,2
"Mr Michael J C Burgess CVO, OBE",4,7,2,1,0,2,0,0
Mr Paul Kelly,4,3,1,1,0,2,0,1
Mr Paul Michael Appleton,4,9,7,2,1,1,0,0
Mr Peter Sigee,4,6,5,3,0,0,1,0
Mr Michael Wall,4,7,6,3,0,1,0,0
Mr Simon Brenchley,4,3,3,3,0,0,0,1
Miss Miss Briony Ballard,4,8,5,2,0,0,1,1
Mr Rob Turnbull,4,6,3,1,0,2,0,0
Mr Mr Roland Wooderson,4,3,3,2,0,0,0,2
Mr Nathanael James Hartley,4,4,3,3,0,1,0,0
Ms Rebecca Anne Mundy,4,7,4,3,0,1,0,0
Ms Katy Ainge,4,2,2,2,0,0,0,2
Ms Rebecca Margaret COBB,3,5,3,2,0,1,0,0
Ms Sarah Huntbach,3,3,2,2,0,1,0,0
Ms Marianne Johnson,3,4,3,3,0,0,0,0
Gail Elliman,3,5,1,1,0,2,0,0
Ms Jyoti Gill,3,3,2,1,0,0,1,1
Ms KATY THORNE KC,3,18,16,0,3,0,0,0
Ms Katrina Hepburn,3,2,2,2,0,0,0,1
HHJ Mark Lucraft QC,3,27,21,0,3,0,0,0
Dr Daniel Sharpstone,3,4,2,1,1,1,0,0
Paul O'Donnell,3,5,3,2,0,1,0,0
Philip Sharp,3,5,2,1,0,2,0,0
Mr Neil Cameron,3,3,0,0,0,3,0,0
Mr Simon Nicholas Burge,3,7,5,2,0,1,0,0
Mr Simon Connolly,3,4,2,1,1,0,1,0
Mr Edward Steele,3,8,10,2,0,1,0,0
Mr Philip Anthony Holden,3,3,2,2,0,1,0,0
Mr Sheriff S Payne,3,5,2,1,0,2,0,0
Mr Alexander Miles Frodsham,3,4,4,3,0,0,0,0
Ms Jenny Goldring,3,10,8,2,1,0,0,0
Mr Benjamin John Myers,3,3,2,2,0,0,1,0
Miss Sarah Riley,3,3,2,2,0,1,0,0
Mr David Manknell KC,3,4,2,2,0,1,0,0
Miss Sian Reeves,3,6,1,0,1,2,0,0
Mrs Deborah Rachel Lakin,3,8,7,2,0,1,0,0
Mr Matthew Kewley,3,3,2,1,0,1,0,0
Mr Edward Ramsay,3,8,7,2,1,0,0,0
Mr Duncan Ritchie,3,4,3,2,0,1,0,0
Mrs Hannah Victoria Berry,3,7,6,2,1,0,0,0
Claire Balysz,3,4,2,1,0,2,0,0
Miss Caroline Margaret Jones,3,7,6,2,1,0,0,0
Miss Amanda Jane Bewley,3,6,6,3,0,0,0,0
Christopher Sutton-Mattocks,3,2,2,2,0,0,0,1
Andrew Thompson,3,4,1,1,0,2,0,0
Christina Swann,3,7,6,2,1,0,0,0
Claire Hammond,3,3,0,0,0,3,0,0
Miss Karin Elizabeth Welsh,3,4,3,1,1,0,0,1
Ms Hannah Godfrey,3,4,5,2,0,1,0,0
Ms Gilva Dagmar Jane Tisshaw,3,4,4,3,0,0,0,0
Ms Gemma Brannigan,3,4,2,1,0,2,0,0
Mr Thomas Richard Geoffrey Leeper,3,3,3,3,0,0,0,0
Ms Ellie Oakley,3,6,5,1,1,0,0,0
Mr Thomas Crookes,3,2,1,1,0,1,0,1
Miss Lorna Jane Skinner QC,3,2,0,0,0,1,0,2
Ms Heather Williams,3,7,3,1,1,1,0,0
Mr Simon Tait,2,1,4,0,0,1,0,1
Mr Ivan Cartwright,2,5,4,1,0,1,0,0
Sara Lewis,2,8,0,0,0,2,0,0
Rosemary Jane Baxter,2,2,0,0,0,2,0,0
Raymond Curtis,2,6,1,1,0,1,0,0
David Skipp,2,3,4,0,0,2,0,0
Ian Boyes,2,4,2,1,0,1,0,0
Ms Julie Alison Goulding,2,2,0,0,0,2,0,0
Ms Myfanwy Buckeridge,2,3,3,2,0,0,0,0
Dr Edward Patrick Morgan KC,2,2,4,2,0,0,0,0
Mr Gareth Lewis,2,2,1,1,0,0,1,0
Mrs Claire Welch,2,1,1,1,0,0,0,1
Mr Ian Christopher James Dreelan,2,1,1,1,0,0,0,1
Mr Bernard Richmond QC,2,5,0,0,0,1,1,0
Mr Anthony Mazzag,2,4,0,0,0,1,1,0
Miss Kelly Elizabeth Dixon,2,4,1,0,0,2,0,0
Miss Louise E Rae,2,3,3,2,0,0,0,0
John Woolley,2,3,2,1,0,1,0,0
Janet Napier,2,4,2,0,0,0,2,0
Mr Andrew Morse,2,2,1,1,0,1,0,0
Ms Angharad Davies,2,2,1,1,0,1,0,0
Mr Tom Stoate,2,3,2,1,0,1,0,0
Ms Fiona King,2,6,4,1,1,0,0,0
Mrs Alison Norton,2,2,2,2,0,0,0,0
Mr Keith Morton QC,2,3,3,1,0,0,0,1
Mr Lincoln Brookes,2,2,2,2,0,0,0,0
Mr Edmund Gritt,2,3,1,1,0,1,0,0
Miss Jessica Swift,2,2,1,0,1,0,0,0
Miss Lisa Judge,2,4,4,2,0,0,0,0
Miss Jayne Wilkes,2,4,1,1,0,1,0,0
Miss Janine Wolstenholme,2,0,0,0,0,0,0,2
Karon Monaghan,2,6,2,0,0,1,1,0
Julian Fox,2,4,1,0,0,1,0,1
Michael Oakley,2,2,0,0,0,0,2,0
Maria Mulrennan,2,8,4,0,0,2,0,0
Dr Murray James Spittal,2,3,0,0,0,2,0,0
Dr Rashid Sohail,2,8,2,0,1,0,1,0
Mrs Emma Hillson,2,4,4,2,0,0,0,0
Mrs Jo Wharton,2,1,1,1,0,0,0,1
Anthony Curzon,2,2,0,0,0,2,0,0
Anthony Eastwoods,2,4,1,0,0,2,0,0
William Coverdale,2,7,4,1,0,1,0,0
Timothy H Ratcliffe,2,5,1,0,0,2,0,0
Mrs Emma Mather,2,4,1,1,0,0,1,0
Angela Hodes,2,6,5,1,0,1,0,0
William R Morris,2,1,1,1,0,0,0,1
Wm J Armstrong OBE,2,2,0,0,0,1,1,0
Cdr. Richard Marshall RN,1,1,0,0,0,1,0,0
Dame Linda Dobbs,1,7,0,0,0,1,0,0
David James,1,1,0,0,0,1,0,0
Dr M D Dominic Bell,1,3,3,1,0,0,0,0
Ms Susanna Rickard,1,0,0,0,0,0,0,1
N G Gardiner,1,1,1,1,0,0,0,0
Neil Joseph Cronin,1,1,1,1,0,0,0,0
Philip Rogers,1,2,0,0,0,1,0,0
Rachael Griffith,1,1,1,1,0,0,0,0
Samuel James Faulks,1,8,3,0,0,1,0,0
Sian Scott Jones,1,1,0,0,0,1,0,0
Simon Allen,1,2,1,0,0,1,0,0
Simon Ward,1,0,0,0,0,0,0,1
Siobhan Kelly,1,1,0,0,0,1,0,0
Sir Peter Thornton QC,1,4,2,0,0,1,0,0
Trevor Kirkland,1,4,2,0,1,0,0,0
C W Malcolm Donnelly,1,2,2,1,0,0,0,0
Mrs Gaynor Kynaston,1,1,1,1,0,0,0,0
Mrs Helen Rimmer,1,1,1,1,0,0,0,0
Mrs Julie Mitchell,1,1,1,1,0,0,0,0
Mrs LOUISA ALICE ELIZABETH JONES CORCORAN,1,2,2,1,0,0,0,0
Mrs Michaela Amy Blackmore,1,1,1,1,0,0,0,0
Mrs Rebecca Connell,1,1,1,1,0,0,0,0
Mr Tony Badenoch,1,1,1,1,0,0,0,0
Mr Richard G Taylor,1,4,0,0,0,1,0,0
Mr Sebastian Hugh Joseph Naughton,1,0,0,0,0,0,0,0
Mr Michael Louis Sheridan Mellun,1,2,0,0,0,0,1,0
Mr Nick Seán Stanage,1,1,1,1,0,0,0,0
Mr Paul B Matthews,1,4,1,0,1,0,0,0
Mr Peter Anthony (Tony) Murphy,1,1,1,1,0,0,0,0
Mr Peter Brunton,1,2,2,1,0,0,0,0
Mr Ivor Collett,1,1,0,0,0,1,0,0
Mr Jake Taylor,1,1,1,1,0,0,0,0
Mr James Hargan,1,1,1,1,0,0,0,0
Mr John Joseph Buckley,1,1,1,1,0,0,0,0
Mr John Matthews,1,2,0,0,0,1,0,0
Mr Joseph Hart,1,2,1,0,0,1,0,0
Mr Martin Douglas Oldham,1,2,1,0,1,0,0,0
Mr Geoffrey M. Saul,1,0,0,0,0,0,0,1
Mr Christopher Leach,1,3,2,0,1,0,0,0
Mr Craig Smith,1,2,1,0,1,0,0,0
Mr D T Bowen,1,1,0,0,0,0,1,0
Mr DAVID MORRIS,1,1,0,0,0,1,0,0
Miss Sunyana Sharma,1,2,1,0,1,0,0,0
Miss Thea Wilson,1,1,1,1,0,0,0,0
Mr Andrew M Bradley,1,1,0,0,0,0,1,0
Ms Anita Davies,1,1,1,1,0,0,0,0
Ms Fleur Hallett,1,3,2,0,0,1,0,0
Ms Hannah Hinton,1,1,0,0,0,1,0,0
Ms Jan Alam,1,1,1,1,0,0,0,0
Miss Clare Doherty,1,1,0,0,0,0,1,0
Miss Georgina Gibbs,1,5,0,0,0,1,0,0
Miss Laura Nash,1,1,1,1,0,0,0,0
Miss Louise Pinder,1,1,1,1,0,0,0,0
Miss Luisa Maria Nicholson,1,3,3,1,0,0,0,0
Miss Michelle Haste,1,1,1,1,0,0,0,0
Miss Naomi McLoughlin,1,0,0,0,0,0,0,1
Miss Neena Sharma,1,1,1,1,0,0,0,0
J Robinson,1,1,1,1,0,0,0,0
Joan Broadbridge,1,2,1,0,0,1,0,0
John Sleightholme,1,2,2,1,0,0,0,0
Kevin Paul Sutton,1,0,0,0,0,0,0,0
Laura Wendy Johnson,1,1,1,1,0,0,0,0
Martin Gotheridge,1,1,1,1,0,0,0,0
Michael Kendall,1,1,1,1,0,0,0,0
Michael Snell,1,1,0,0,0,1,0,0
Miss Bronia Elisabeth Hartley,1,2,1,0,0,1,0,0
Dr Marc Lindsey Leeming,1,3,0,0,0,1,0,0
Dr Sam Bass,1,1,1,1,0,0,0,0
Dr Sean Cummings,1,1,1,1,0,0,0,0
Edward Solomons,1,1,1,1,0,0,0,0
Elaine Moloney,1,1,1,1,0,0,0,0
Elizabeth Pygott,1,4,0,0,0,1,0,0
Eric Armstrong,1,1,0,0,0,1,0,0
Fiona Malek,1,1,0,0,0,1,0,0
Geoffrey Tomalin,1,5,4,0,0,0,1,0
HH Judge Munro QC,1,4,3,0,1,0,0,0
HHJ Keith Cutler CBE,1,5,5,1,0,0,0,0
HHJ Loraine-Smith,1,4,0,0,0,1,0,0
Henrietta Hills QC,1,1,0,0,0,1,0,0
Ian Goldup,1,1,1,1,0,0,0,0
J Hamilton,1,0,0,0,0,0,0,1
Ms Judith Vanessa Leach,1,2,4,1,0,0,0,0
Ms Rachel Spearing,1,1,0,0,0,1,0,0
Ms Saba Naqshbandi,1,1,1,1,0,0,0,0
Ms Samantha Broadfoot,1,1,1,1,0,0,0,0
Alison Owen,1,1,1,1,0,0,0,0
